name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class
Pound,1,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Karate Chop,2,100.0,25,50.0,0,Fighting,Generation I,Has an increased chance for a critical hit.,Physical
Double Slap,3,85.0,10,15.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Comet Punch,4,85.0,15,18.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Mega Punch,5,85.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Pay Day,6,100.0,20,40.0,0,Normal,Generation I,Scatters money on the ground worth five times the user's level.,Physical
Fire Punch,7,100.0,15,75.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Physical
Ice Punch,8,100.0,15,75.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Physical
Thunder Punch,9,100.0,15,75.0,0,Electric,Generation I,Has a $effect_chance% chance to paralyze the target.,Physical
Scratch,10,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Vice Grip,11,100.0,30,55.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Razor Wind,12,100.0,10,80.0,0,Normal,Generation I,Requires a turn to charge before attacking.,Special
Cut,13,95.0,30,50.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Gust,14,100.0,35,40.0,0,Flying,Generation I,Inflicts regular damage and can hit Pokémon in the air.,Special
Wing Attack,15,100.0,35,60.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Fly,16,95.0,15,90.0,0,Flying,Generation I,"User flies high into the air, dodging all attacks, and hits next turn.",Physical
Bind,17,85.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical
Slam,18,75.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Vine Whip,19,100.0,25,45.0,0,Grass,Generation I,Inflicts regular damage with no additional effect.,Physical
Stomp,20,100.0,20,65.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Double Kick,21,100.0,30,30.0,0,Fighting,Generation I,Hits twice in one turn.,Physical
Mega Kick,22,75.0,5,120.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Jump Kick,23,95.0,10,100.0,0,Fighting,Generation I,"If the user misses, it takes half the damage it would have inflicted in recoil.",Physical
Rolling Kick,24,85.0,15,60.0,0,Fighting,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Headbutt,25,100.0,15,70.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Horn Attack,26,100.0,25,65.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Fury Attack,27,85.0,20,15.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Tackle,28,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Body Slam,29,100.0,15,85.0,0,Normal,Generation I,Has a $effect_chance% chance to paralyze the target.,Physical
Wrap,30,90.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical
Take Down,31,85.0,20,90.0,0,Normal,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physical
Thrash,32,100.0,10,120.0,0,Normal,Generation I,"Hits every turn for 2-3 turns, then confuses the user.",Physical
Double Edge,33,100.0,15,120.0,0,Normal,Generation I,User receives 1/3 the damage inflicted in recoil.,Physical
Poison Sting,34,100.0,35,15.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Physical
Twineedle,35,100.0,20,25.0,0,Bug,Generation I,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Physical
Pin Missile,36,95.0,20,25.0,0,Bug,Generation I,Hits 2-5 times in one turn.,Physical
Bite,37,100.0,25,60.0,0,Dark,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Acid,38,100.0,30,40.0,0,Poison,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special
Ember,39,100.0,25,40.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special
