name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class
Pound,1,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Mega Punch,5,85.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Scratch,10,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Vice Grip,11,100.0,30,55.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Cut,13,95.0,30,50.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Wing Attack,15,100.0,35,60.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Slam,18,75.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Vine Whip,19,100.0,25,45.0,0,Grass,Generation I,Inflicts regular damage with no additional effect.,Physical
Mega Kick,22,75.0,5,120.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Horn Attack,26,100.0,25,65.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Tackle,28,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Water Gun,41,100.0,25,40.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special
Hydro Pump,42,80.0,5,110.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special
Peck,50,100.0,35,35.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Drill Peck,51,100.0,20,80.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Strength,53,100.0,15,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Rock Throw,63,90.0,15,50.0,0,Rock,Generation I,Inflicts regular damage with no additional effect.,Physical
Quick Attack,68,100.0,30,40.0,1,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Egg Bomb,71,75.0,10,100.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Flame Burst,98,100.0,15,70.0,0,Fire,Generation I,Inflicts regular damage with no additional effect.,Special
Ice Shard,99,100.0,30,40.0,0,Ice,Generation I,Inflicts regular damage with no additional effect.,Physical
Spark,100,100.0,20,65.0,0,Electric,Generation I,Inflicts regular damage with no additional effect.,Physical
Poison Jab,101,100.0,20,80.0,0,Poison,Generation I,Inflicts regular damage with no additional effect.,Physical
Mud Shot,102,95.0,15,55.0,0,Ground,Generation I,Inflicts regular damage with no additional effect.,Special
Bug Bite,103,100.0,20,60.0,0,Bug,Generation I,Inflicts regular damage with no additional effect.,Physical
Psycho Cut,104,100.0,20,70.0,0,Psychic,Generation I,Inflicts regular damage with no additional effect.,Physical
Brick Break,105,100.0,15,75.0,0,Fighting,Generation I,Inflicts regular damage with no additional effect.,Physical
Shadow Punch,106,100.0,20,60.0,0,Ghost,Generation I,Inflicts regular damage with no additional effect.,Physical
Dragon Claw,107,100.0,15,80.0,0,Dragon,Generation I,Inflicts regular damage with no additional effect.,Physical
Rock Smash,108,100.0,15,40.0,0,Rock,Generation I,Inflicts regular damage with no additional effect.,Physical
